epoch,accuracy,binary_crossentropy,loss,precision,recall,val_accuracy,val_binary_crossentropy,val_loss,val_precision,val_recall
0,0.7502662539482117,0.6383832097053528,2.7617106437683105,0.18917231261730194,0.49890169501304626,0.9106603860855103,0.21025678515434265,1.0125280618667603,0.556587815284729,0.7540045976638794
1,0.8852258920669556,0.2439490705728531,1.0553481578826904,0.4158351421356201,0.5263591408729553,0.9197151064872742,0.18617688119411469,0.8965670466423035,0.6071794629096985,0.6773455142974854
2,0.9008131623268127,0.1723620593547821,0.7456557154655457,0.48086124658584595,0.6070840358734131,0.9250271916389465,0.12990911304950714,0.6255998611450195,0.6341463327407837,0.6842105388641357
3,0.9085288047790527,0.11289244145154953,0.48838409781455994,0.5115392208099365,0.7364085912704468,0.9134371876716614,0.07131120562553406,0.34341147541999817,0.5590669512748718,0.8501144051551819
4,0.9099836349487305,0.07750764489173889,0.33530622720718384,0.5145153403282166,0.8613399267196655,0.957624077796936,0.039799708873033524,0.19166240096092224,0.7233133912086487,0.9691075682640076
5,0.9324552416801453,0.03718852251768112,0.16088134050369263,0.5890293717384338,0.9464579820632935,0.9593142867088318,0.011915487237274647,0.05738109350204468,0.7243107557296753,0.991990864276886
6,0.9367157816886902,0.0320926196873188,0.13883589208126068,0.6027607321739197,0.9711697101593018,0.9570204019546509,0.01223871111869812,0.05893763527274132,0.716193675994873,0.9816933870315552
7,0.966435432434082,0.014628224074840546,0.06328319758176804,0.7436748147010803,0.9846238493919373,0.9951708316802979,0.004319597501307726,0.02080177143216133,0.9633333086967468,0.991990864276886
8,0.9587457180023193,0.022038180381059647,0.09533946216106415,0.7023246884346008,0.9788577556610107,0.9659543633460999,0.005544267129153013,0.026699379086494446,0.7578397393226624,0.9954233169555664
9,0.9815551042556763,0.008877437561750412,0.03840471804141998,0.8436474204063416,0.9881932735443115,0.991186797618866,0.003329872852191329,0.01603557914495468,0.9274279475212097,0.9942792057991028
10,0.9813212752342224,0.008837302215397358,0.038231078535318375,0.8420313596725464,0.9879187345504761,0.972956657409668,0.005296675488352776,0.025507060810923576,0.798713207244873,0.9942792057991028
11,0.9659678339958191,0.015328671783208847,0.06631337106227875,0.7417080998420715,0.9824272394180298,0.9865990877151489,0.00936091784387827,0.045079123228788376,0.8953368067741394,0.9885583519935608
12,0.9718909859657288,0.009620157070457935,0.04161779209971428,0.7786242961883545,0.9821526408195496,0.9878063797950745,0.004463453311473131,0.021494532003998756,0.9005181193351746,0.9942792057991028
13,0.9683059453964233,0.018720563501119614,0.08098715543746948,0.7570033669471741,0.9794068932533264,0.9886514544487,0.006859272252768278,0.03303201496601105,0.9131355881690979,0.986270010471344
14,0.984984278678894,0.005550877191126347,0.024013660848140717,0.8698696494102478,0.9892916083335876,0.9874441623687744,0.004657241515815258,0.02242775447666645,0.8977272510528564,0.9942792057991028
15,0.9837632775306702,0.006427634507417679,0.027806608006358147,0.8646361827850342,0.9821526408195496,0.9888929128646851,0.003854970680549741,0.01856428012251854,0.9072916507720947,0.9965674877166748
16,0.976489245891571,0.010369164869189262,0.044858068227767944,0.8108108043670654,0.9802306294441223,0.9654714465141296,0.005298256874084473,0.025514675304293633,0.7552083134651184,0.9954233169555664
17,0.9831138253211975,0.005927353166043758,0.02564234845340252,0.8551756739616394,0.9890170097351074,0.9897380471229553,0.0037231517489999533,0.017929483205080032,0.914826512336731,0.9954233169555664
18,0.9873483777046204,0.006820788141340017,0.029507413506507874,0.8970551490783691,0.9785832166671753,0.9902209639549255,0.003732746234163642,0.017975686118006706,0.9178082346916199,0.9965674877166748
19,0.987712025642395,0.00778427766636014,0.033675577491521835,0.8938602805137634,0.9873695969581604,0.9757334589958191,0.00874737836420536,0.042124513536691666,0.8159624338150024,0.9942792057991028
20,0.9883355498313904,0.004512603860348463,0.019521990790963173,0.9000250697135925,0.9862712621688843,0.9620910286903381,0.007742535322904587,0.03728552162647247,0.7372881174087524,0.9954233169555664
21,0.9758657217025757,0.03320544958114624,0.14365006983280182,0.814368486404419,0.9648544788360596,0.9876856207847595,0.006182859651744366,0.029774632304906845,0.8995859026908875,0.9942792057991028
22,0.9736835360527039,0.02308299019932747,0.09985939413309097,0.7958586812019348,0.9708951115608215,0.995774507522583,0.004189239349216223,0.02017400786280632,0.9687150716781616,0.991990864276886
23,0.9900501370429993,0.004834640305489302,0.020915137603878975,0.9151592254638672,0.9862712621688843,0.9952915906906128,0.003229038557037711,0.015549995936453342,0.9804372787475586,0.9748283624649048
24,0.9877640008926392,0.00754865538328886,0.032656263560056686,0.8939130306243896,0.9879187345504761,0.9892551302909851,0.003503203857690096,0.0168702844530344,0.9101358652114868,0.9965674877166748
25,0.9910892844200134,0.005900301039218903,0.025525296106934547,0.9237092137336731,0.9873695969581604,0.9929977059364319,0.005965316202491522,0.028727015480399132,0.9800000190734863,0.9530892372131348
26,0.989244818687439,0.005628774408251047,0.024350659921765327,0.9111054539680481,0.9821526408195496,0.9891343712806702,0.0035887015983462334,0.017282014712691307,0.9091858267784119,0.9965674877166748
27,0.9909074306488037,0.0037639725487679243,0.016283320263028145,0.9205416440963745,0.9892916083335876,0.9961366653442383,0.0022039234172552824,0.010613375343382359,0.9688196182250977,0.9954233169555664
28,0.9867508411407471,0.010631474666297436,0.0459928885102272,0.8880079388618469,0.9840747117996216,0.9882892966270447,0.003023223951458931,0.014558859169483185,0.9025906920433044,0.9965674877166748
